Song,Artist,Genre,Year,added,bpm,energy,dance,dB,liveliness,valence,duration,acousticness,speechiness,popularity
Oceans,Seafret,folk-pop,2016,2017‑08‑04,129,46,37,-9,10,18,215,27,3,70
New Man,Ed Sheeran,pop,2017,2017‑05‑14,94,75,78,-4,6,86,189,6,14,70
Barcelona,Ed Sheeran,pop,2017,2017‑05‑14,100,76,75,-4,15,68,191,45,19,70
Save Myself,Ed Sheeran,pop,2017,2017‑05‑14,79,29,55,-6,23,48,247,85,4,70
To Build A Home,The Cinematic Orchestra,downtempo,2007,2014‑10‑23,148,13,26,-15,11,8,371,89,3,70
Rocketeer,Far East Movement,asian american hip hop,2010,2014‑09‑25,96,85,66,-6,27,36,211,18,5,70
Falling For You with Justin Bieber,Jaden,rap,2020,2020‑11‑04,130,54,69,-9,11,79,223,72,4,69
Trauma,NF,hip hop,2019,2020‑09‑28,104,9,53,-15,10,23,247,92,3,69
Make It Better (feat. Smokey Robinson),Anderson .Paak,escape room,2019,2020‑09‑26,179,56,68,-6,14,55,219,1,6,69
Saturday Nights,Khalid,alternative r&b,2019,2019‑04‑06,83,37,57,-11,10,35,212,63,8,69
Cherry Wine - Live,Hozier,irish singer-songwriter,2014,2019‑03‑15,82,11,42,-15,10,23,240,95,4,69
A Million Dreams (Reprise),Austyn Johnson,show tunes,2017,2018‑12‑11,74,14,25,-17,27,10,60,73,4,69
Suncity (feat. Empress Of),Khalid,alternative r&b,2018,2018‑10‑29,90,63,69,-7,12,34,189,10,16,69
Closing Time,Semisonic,alternative rock,2003,2018‑10‑23,92,85,48,-5,12,27,274,2,3,69
Love My Way,The Psychedelic Furs,art rock,1982,2017‑12‑18,126,85,64,-5,15,52,214,0,4,69
The Ballad of Mona Lisa,Panic! At The Disco,baroque pop,2011,2017‑05‑25,124,89,44,-4,10,8,227,0,6,69
LA Devotee,Panic! At The Disco,baroque pop,2016,2017‑05‑25,176,85,49,-5,7,70,197,0,6,69
Take Me to Church,Hozier,irish singer-songwriter,2014,2014‑12‑17,129,66,57,-5,12,44,242,64,5,69
I'm a Mess,Ed Sheeran,pop,2014,2014‑10‑04,139,38,70,-8,10,34,245,56,4,69
Gone,Blake Rose,australian electropop,2020,2021‑01‑06,139,55,32,-6,12,14,205,4,5,68
I Need U,yaeow,lo-fi chill,2020,2021‑01‑01,85,41,40,-12,16,7,143,51,7,68
Stella Brown,Jelani Aryeh,alternative r&b,2020,2020‑11‑05,125,48,72,-8,29,59,187,21,3,68
Cabin Fever,Jaden,rap,2020,2020‑11‑03,123,87,73,-6,20,92,196,13,3,68
Malibu 1992,COIN,indie pop,2017,2020‑10‑04,147,32,56,-8,17,50,341,6,4,68
Leave a Light On,Tom Walker,indie anthem-folk,2019,2020‑09‑26,69,63,59,-6,13,28,186,1,11,68
Casio,Jungle,indie soul,2018,2020‑09‑26,116,49,82,-7,10,77,234,43,8,68
